Tarih,Bölge,Fiyat,Metrekare,Birim_m2
2026-05-12,Konyaaltı,15950000,170,93823.53
2026-05-12,Konyaaltı,7950000,150,53000.0
2026-05-12,Konyaaltı,4500000,55,81818.18
2026-05-12,Konyaaltı,11400000,150,76000.0
2026-05-12,Konyaaltı,98000000,165,593939.39
2026-05-12,Konyaaltı,6250000,110,56818.18
2026-05-12,Konyaaltı,4850000,60,80833.33
2026-05-12,Konyaaltı,14500000,100,145000.0
2026-05-12,Konyaaltı,13900000,255,54509.8
2026-05-12,Konyaaltı,8750000,90,97222.22
2026-05-12,Konyaaltı,10850000,145,74827.59
2026-05-12,Konyaaltı,8250000,85,97058.82
2026-05-12,Konyaaltı,4500000,60,75000.0
2026-05-12,Konyaaltı,14500000,150,96666.67
2026-05-12,Konyaaltı,9200000,180,51111.11
2026-05-12,Konyaaltı,3800000,60,63333.33
2026-05-12,Konyaaltı,8475000,150,56500.0
2026-05-12,Konyaaltı,8120000,80,101500.0
2026-05-12,Konyaaltı,8750000,650,13461.54
2026-05-12,Konyaaltı,11500000,325,35384.62
2026-05-12,Konyaaltı,38000000,200,190000.0
2026-05-12,Konyaaltı,6500000,90,72222.22
2026-05-12,Konyaaltı,7250000,85,85294.12
2026-05-12,Konyaaltı,8250000,300,27500.0
2026-05-12,Konyaaltı,4750000,60,79166.67
2026-05-12,Konyaaltı,15500000,160,96875.0
2026-05-12,Konyaaltı,8750000,80,109375.0
2026-05-12,Konyaaltı,9500000,85,111764.71
2026-05-12,Konyaaltı,8125000,155,52419.35
2026-05-12,Konyaaltı,6600000,102,64705.88
2026-05-12,Konyaaltı,14750000,120,122916.67
2026-05-12,Konyaaltı,23500000,200,117500.0
2026-05-12,Konyaaltı,4200000,65,64615.38
